Baseball Mogul 2007
78
User:
6.9
Release Date:
Apr 12, 2006
Pac-Man Championship Edition 2
78
User:
7.0
Release Date:
Sep 13, 2016
Crashlands
78
User:
7.8
Release Date:
Jan 21, 2016
King's Bounty: Crossworlds
78
User:
8.5
Release Date:
Sep 17, 2010
Offworld Trading Company
78
User:
7.3
Release Date:
Apr 28, 2016
Dawn of Discovery: Venice
78
User:
7.7
Release Date:
Feb 26, 2010
Destiny 2: Shadowkeep
78
User:
5.5
Release Date:
Oct  1, 2019
Fort Triumph
78
User:
7.5
Release Date:
Apr 16, 2020
Legendary Gary
78
User:
tbd
Release Date:
Feb 20, 2018
Shadows of Adam
78
User:
6.9
Release Date:
Feb 23, 2017
Dungelot: Shattered Lands
78
User:
6.8
Release Date:
Feb 18, 2016
Battlefield 3: End Game
78
User:
7.4
Release Date:
Mar 26, 2013
Titan Quest
77
User:
8.1
Release Date:
Jun 26, 2006
Deathtrap
77
User:
7.7
Release Date:
Feb  4, 2015
Galactic Civilizations: Altarian Prophecy
77
User:
6.9
Release Date:
Nov 12, 2004
Resident Evil 3
77
User:
5.3
Release Date:
Apr  3, 2020
Republique: Episode 1 - Exordium
77
User:
7.5
Release Date:
Feb 25, 2015
Vacation Simulator
77
User:
5.3
Release Date:
Apr  9, 2019
Sonic Generations
77
User:
8.3
Release Date:
Nov  3, 2011
WRC 8 FIA World Rally Championship
77
User:
5.4
Release Date:
Sep  5, 2019
Reigns
77
User:
7.4
Release Date:
Aug 11, 2016
Mafia II
77
User:
8.1
Release Date:
Aug 23, 2010
Battlefleet Gothic: Armada 2
77
User:
7.6
Release Date:
Jan 24, 2019
Tower of Time
77
User:
8.1
Release Date:
Apr 12, 2018
Delta Force: Black Hawk Down
77
User:
7.7
Release Date:
Mar 23, 2003
Arx Fatalis
77
User:
8.3
Release Date:
Nov 11, 2002
Geoff Crammond's Grand Prix 4
77
User:
8.7
Release Date:
Sep 10, 2002
Emperor: Rise of the Middle Kingdom
77
User:
7.8
Release Date:
Sep  9, 2002
Ground Control: Dark Conspiracy
77
User:
6.6
Release Date:
Dec 14, 2000
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back
77
User:
8.5
Release Date:
Mar 26, 2019
BEAUTIFUL DESOLATION
77
User:
7.6
Release Date:
Feb 26, 2020
Bridge Constructor Portal
77
User:
6.4
Release Date:
Dec 20, 2017
Whispers of a Machine
77
User:
7.3
Release Date:
Apr 17, 2019
Sherlock Holmes: Crimes & Punishments
77
User:
7.7
Release Date:
Sep 29, 2014
Audica
77
User:
tbd
Release Date:
Nov  5, 2019
ArmA II
77
User:
7.5
Release Date:
Jun 29, 2009
Rebel Galaxy Outlaw
77
User:
5.7
Release Date:
Aug 13, 2019
F1 2013
77
User:
6.4
Release Date:
Oct  3, 2013
DeathSpank
77
User:
7.6
Release Date:
Oct 25, 2010
Al Emmo and the Lost Dutchman's Mine
77
User:
7.1
Release Date:
Sep  6, 2006
Expeditions: Conquistador
77
User:
8.1
Release Date:
May 30, 2013
Life is Strange: Episode 1 - Chrysalis
77
User:
8.5
Release Date:
Jan 30, 2015
Gary Grigsby's World at War
77
User:
6.1
Release Date:
Mar 25, 2005
Zeno Clash
77
User:
7.8
Release Date:
Apr 21, 2009
Operation Flashpoint: Resistance
77
User:
8.7
Release Date:
Jul 10, 2002
Etherlords
77
User:
7.5
Release Date:
Nov 12, 2001
FIFA Soccer 2002
77
User:
7.5
Release Date:
Oct 29, 2001
They Are Billions
77
User:
6.2
Release Date:
Jun 18, 2019
FIFA Soccer 09
77
User:
6.9
Release Date:
Oct 14, 2008
FIFA World Cup: Germany 2006
77
User:
7.6
Release Date:
Apr 24, 2006
Giana Sisters: Twisted Dreams
77
User:
7.7
Release Date:
Oct 22, 2012
Alien Swarm
77
User:
8.2
Release Date:
Jul 19, 2010
Soldiers: Heroes of World War II
77
User:
8.3
Release Date:
Jun 30, 2004
The Elder Scrolls Online: Morrowind
77
User:
6.7
Release Date:
May 22, 2017
Bloodstained: Curse of the Moon
77
User:
7.4
Release Date:
May 24, 2018
Figment
77
User:
7.1
Release Date:
Sep 22, 2017
Baldur's Gate: Siege of Dragonspear
77
User:
3.7
Release Date:
Mar 31, 2016
The Walking Dead: The Telltale Series - The Final Season
77
User:
7.9
Release Date:
Aug 13, 2018
Men of War: Assault Squad
77
User:
8.0
Release Date:
Feb 25, 2011
Command & Conquer 3: Kane's Wrath
77
User:
8.0
Release Date:
Mar 24, 2008
Arena Wars
77
User:
7.7
Release Date:
Sep 13, 2004
Element4l
77
User:
7.7
Release Date:
May 24, 2013
Anomaly 2
77
User:
7.7
Release Date:
May 15, 2013
Ancestors Legacy
77
User:
7.2
Release Date:
May 22, 2018
Plants vs. Zombies: Battle for Neighborville
77
User:
4.4
Release Date:
Oct 18, 2019
Green Hell
77
User:
7.7
Release Date:
Sep  5, 2019
Mini Metro
77
User:
7.7
Release Date:
Aug 11, 2014
Massive Assault
77
User:
6.9
Release Date:
Oct 28, 2003
Shadows: Awakening
77
User:
7.3
Release Date:
Aug 31, 2018
Thomas Was Alone
77
User:
8.1
Release Date:
Jun 30, 2012
World of Final Fantasy
77
User:
7.7
Release Date:
Nov 21, 2017
Blasphemous
77
User:
6.0
Release Date:
Sep 10, 2019
Universe at War: Earth Assault
77
User:
8.5
Release Date:
Dec 10, 2007
The Incredible Adventures of Van Helsing II
77
User:
7.7
Release Date:
Jun 13, 2014
Life is Strange: Episode 2 - Out of Time
77
User:
8.7
Release Date:
Mar 24, 2015
Herald: An Interactive Period Drama
77
User:
tbd
Release Date:
Feb 22, 2017
Teslagrad
77
User:
7.7
Release Date:
Dec 13, 2013
VA-11 Hall-A: Cyberpunk Bartender Action
77
User:
8.3
Release Date:
Jun 21, 2016
Tales of Monkey Island Chapter 2: The Siege of Spinner Cay
77
User:
7.4
Release Date:
Aug 20, 2009
Hearts of Iron III
77
User:
7.2
Release Date:
Aug  7, 2009
Space Junkies
77
User:
4.6
Release Date:
Mar 21, 2019
Echoes Of Aetheria
77
User:
7.1
Release Date:
Jan 15, 2016
Nexus: The Jupiter Incident
77
User:
8.7
Release Date:
Feb 24, 2005
Supreme Commander 2
77
User:
6.2
Release Date:
Mar  1, 2010
Orwell
77
User:
7.0
Release Date:
Oct 27, 2016
Penny Arcade Adventures: Episode One
77
User:
8.2
Release Date:
May 21, 2008
Still There
77
User:
8.1
Release Date:
Nov 20, 2019
NEO Scavenger
77
User:
7.7
Release Date:
Dec 15, 2014
Child of Light
77
User:
8.1
Release Date:
Apr 29, 2014
Game of Thrones: Episode Three - The Sword in the Darkness
77
User:
7.7
Release Date:
Mar 24, 2015
Watch Dogs
77
User:
4.9
Release Date:
May 26, 2014
Sid Meier's Railroads!
77
User:
5.6
Release Date:
Oct 17, 2006
Darksiders Genesis
77
User:
7.7
Release Date:
Dec  5, 2019
Magic Duels: Origins
77
User:
6.1
Release Date:
Jul 29, 2015
MotoGP 3: Ultimate Racing Technology
77
User:
7.3
Release Date:
Aug 30, 2005
Eldritch
77
User:
6.7
Release Date:
Oct 21, 2013
Shadow of the Tomb Raider
77
User:
6.9
Release Date:
Sep 14, 2018
Cosmic Star Heroine
77
User:
7.2
Release Date:
Apr 11, 2017
On Rusty Trails
77
User:
6.5
Release Date:
Jun 13, 2016
Lumo
77
User:
6.0
Release Date:
May 24, 2016
