Silent Hunter III
90
User:
7.8
Release Date:
Mar 15, 2005
Bayonetta
90
User:
8.1
Release Date:
Apr 11, 2017
Sid Meier's Civilization V
90
User:
8.0
Release Date:
Sep 21, 2010
Falcon 4.0: Allied Force
90
User:
7.8
Release Date:
Jun 28, 2005
Deus Ex: Human Revolution
90
User:
8.5
Release Date:
Aug 23, 2011
Flight Simulator 2002
90
User:
7.6
Release Date:
Oct 19, 2001
Brothers: A Tale of Two Sons
90
User:
8.5
Release Date:
Sep  3, 2013
Dota 2
90
User:
6.5
Release Date:
Jul  9, 2013
Guild Wars 2
90
User:
8.1
Release Date:
Aug 28, 2012
Freedom Force
90
User:
7.8
Release Date:
Mar 24, 2002
Into the Breach
90
User:
7.7
Release Date:
Feb 27, 2018
GTR 2
90
User:
8.7
Release Date:
Sep 29, 2006
Grand Theft Auto IV
90
User:
6.8
Release Date:
Dec  2, 2008
Total War: Shogun 2
90
User:
8.4
Release Date:
Mar 15, 2011
Empire: Total War
90
User:
7.0
Release Date:
Mar  3, 2009
Kentucky Route Zero - Act IV
90
User:
6.3
Release Date:
Jul 20, 2016
Command & Conquer: Red Alert
90
User:
8.8
Release Date:
Oct 31, 1996
The Witcher 3: Wild Hunt - Hearts of Stone
89
User:
9.1
Release Date:
Oct 13, 2015
Star Wars Jedi Knight II: Jedi Outcast
89
User:
8.7
Release Date:
Mar 26, 2002
Resident Evil 2
89
User:
9.0
Release Date:
Jan 25, 2019
The Walking Dead: A Telltale Games Series
89
User:
8.8
Release Date:
Apr 24, 2012
Age of Mythology
89
User:
8.9
Release Date:
Nov  1, 2002
Sacrifice
89
User:
8.7
Release Date:
Nov  5, 2000
Dark Souls III
89
User:
8.4
Release Date:
Apr 11, 2016
Pillars of Eternity
89
User:
8.3
Release Date:
Mar 26, 2015
The Elder Scrolls III: Morrowind
89
User:
8.9
Release Date:
May  1, 2002
Rocksmith 2014 Edition
89
User:
7.9
Release Date:
Oct 22, 2013
Fallout
89
User:
8.8
Release Date:
Oct  9, 1997
Ori and the Will of the Wisps
89
User:
8.5
Release Date:
Mar 11, 2020
World Soccer Winning Eleven 9
89
User:
8.2
Release Date:
Apr 28, 2006
Worldwide Soccer Manager 2005
89
User:
8.3
Release Date:
Dec  7, 2004
Dead Cells
89
User:
7.9
Release Date:
Aug  7, 2018
Left 4 Dead
89
User:
9.1
Release Date:
Nov 17, 2008
Left 4 Dead 2
89
User:
8.4
Release Date:
Nov 16, 2009
F1 2017
89
User:
7.3
Release Date:
Aug 24, 2017
Devil May Cry 5
89
User:
8.6
Release Date:
Mar  7, 2019
NASCAR Racing 2002 Season
89
User:
5.4
Release Date:
Feb 14, 2002
Mass Effect
89
User:
8.6
Release Date:
May 28, 2008
Combat Mission: Barbarossa to Berlin
89
User:
7.7
Release Date:
Oct 29, 2002
Homeworld: Cataclysm
89
User:
8.8
Release Date:
Sep  7, 2000
The Walking Dead: Episode 5 - No Time Left
89
User:
8.9
Release Date:
Nov 21, 2012
Guild Wars
89
User:
8.4
Release Date:
Apr 26, 2005
Borderlands 2
89
User:
8.2
Release Date:
Sep 17, 2012
Slay the Spire
89
User:
7.0
Release Date:
Jan 23, 2019
Max Payne
89
User:
9.1
Release Date:
Jul 23, 2001
Out of the Park Baseball 15
89
User:
7.2
Release Date:
Apr 21, 2014
World in Conflict
89
User:
8.1
Release Date:
Sep 18, 2007
NASCAR Racing 4
89
User:
7.4
Release Date:
Feb  6, 2001
Duke Nukem 3D
89
User:
8.7
Release Date:
Jan 29, 1996
Far Cry
89
User:
8.0
Release Date:
Mar 23, 2004
Nuclear Throne
89
User:
7.7
Release Date:
Dec  5, 2015
Lone Echo
89
User:
7.9
Release Date:
Jul 20, 2017
FIFA Soccer 12
89
User:
7.1
Release Date:
Sep 27, 2011
XCOM: Enemy Unknown
89
User:
8.2
Release Date:
Oct  8, 2012
Mass Effect 3
89
User:
5.9
Release Date:
Mar  6, 2012
Rise of Nations
89
User:
8.8
Release Date:
May 20, 2003
NASCAR Racing 2003 Season
89
User:
7.6
Release Date:
Feb 14, 2003
Descent 3
89
User:
7.7
Release Date:
Jun 14, 2000
The Curse of Monkey Island
89
User:
9.0
Release Date:
Oct 31, 1997
Rez Infinite
89
User:
7.2
Release Date:
Aug  9, 2017
Battlefield 3
89
User:
7.6
Release Date:
Oct 25, 2011
Battlefield 1942
89
User:
8.6
Release Date:
Sep 10, 2002
Madden NFL 2003
89
User:
7.1
Release Date:
Aug 12, 2002
DiRT 2
89
User:
8.2
Release Date:
Dec  8, 2009
Return of the Obra Dinn
89
User:
8.1
Release Date:
Oct 18, 2018
Stardew Valley
89
User:
8.7
Release Date:
Feb 26, 2016
Prince of Persia: The Sands of Time
89
User:
8.6
Release Date:
Dec  2, 2003
What Remains of Edith Finch
89
User:
8.3
Release Date:
Apr 24, 2017
Railroad Tycoon II
89
User:
8.5
Release Date:
Nov  2, 1998
Asgard's Wrath
88
User:
8.3
Release Date:
Oct 10, 2019
XCOM 2: War of the Chosen
88
User:
7.8
Release Date:
Aug 29, 2017
DUSK
88
User:
8.2
Release Date:
Dec 10, 2018
Microsoft Flight Simulator 2004: A Century of Flight
88
User:
7.8
Release Date:
Jul 29, 2003
Medieval: Total War
88
User:
8.7
Release Date:
Aug 19, 2002
Mafia
88
User:
9.1
