Platoon: The 1st Airborne Cavalry Division in Vietnam
49
User:
6.4
Release Date:
Nov 21, 2002
Ace of Spades
49
User:
5.2
Release Date:
Dec 12, 2012
Whirlwind Over Vietnam
49
User:
3.0
Release Date:
Apr 13, 2007
Terminator Salvation
49
User:
4.6
Release Date:
May 19, 2009
Twin Sector
49
User:
5.8
Release Date:
Dec  5, 2009
Cannon Fodder 3
49
User:
5.7
Release Date:
Feb  9, 2012
Tortuga - Two Treasures
48
User:
2.7
Release Date:
Mar 12, 2007
Frank Herbert's Dune
48
User:
4.0
Release Date:
Dec 14, 2001
Ford Bold Moves Street Racing
48
User:
4.4
Release Date:
Sep 25, 2006
Blood Alloy: Reborn
48
User:
tbd
Release Date:
Mar  2, 2016
Lucius II
48
User:
3.2
Release Date:
Feb 13, 2015
Bush Hockey League
48
User:
4.3
Release Date:
Mar 28, 2017
Carmageddon 3: TDR 2000
48
User:
7.1
Release Date:
Dec 14, 2000
Paradise Cracked
48
User:
7.8
Release Date:
Sep 30, 2003
Past Cure
48
User:
6.5
Release Date:
Feb  2, 2018
Legend of the North: Konung
48
User:
6.0
Release Date:
Dec 31, 2000
Stolen
48
User:
6.7
Release Date:
Apr 22, 2005
Resident Evil: Operation Raccoon City
48
User:
4.2
Release Date:
May 18, 2012
The Secrets of Atlantis
48
User:
3.1
Release Date:
May 29, 2007
Pro Cycling Manager Season 2008: Le Tour de France
48
User:
7.0
Release Date:
Jun 27, 2008
Real War
48
User:
6.3
Release Date:
Sep 24, 2001
Amazons & Aliens
48
User:
5.2
Release Date:
Sep 30, 2000
Grotesque Tactics 2: Dungeons & Donuts
48
User:
6.5
Release Date:
Nov 21, 2011
Special Forces: Team X
48
User:
6.9
Release Date:
Feb  6, 2013
Pearl Harbor: Defend the Fleet
48
User:
4.2
Release Date:
May 15, 2001
Devil's Hunt
47
User:
5.7
Release Date:
Sep 17, 2019
Hexodius
47
User:
5.7
Release Date:
Jun 21, 2013
Dreamkiller
47
User:
5.4
Release Date:
Oct 12, 2009
Solarix
47
User:
4.1
Release Date:
Apr 30, 2015
The Ant Bully
47
User:
3.4
Release Date:
Jul 24, 2006
The Weakest Link
47
User:
tbd
Release Date:
Oct  2, 2001
Submerged
47
User:
4.9
Release Date:
Aug  3, 2015
