rank,name,popularity,total_rating,total_rating_count,release_date,genre
67,Age of Empires II: Definitive Edition,18.83144821699051,85.68829258145325,21,2019-Nov-14,Real Time Strategy (RTS)
68,Thief Gold,1.44578216048949,85.48724845724746,21,1999-Oct-26,Shooter
69,Serious Sam: The Second Encounter,1.891572410849526,85.16075736758054,89,2002-Jan-24,Shooter
70,Warhammer 40000: Dawn of War,5.457862054247628,85.1588281458091,101,2004-Sep-24,Real Time Strategy (RTS)
71,The Blackwell Convergence,1.445786205424763,85.0275610346306,24,2009-Jul-22,Point-and-click
72,TrackMania Sunrise,1.668673240734234,85.0151610658358,12,2005-Apr-08,Racing
73,Soldat,2.783128641957958,84.98089212507591,14,2002-Aug-23,Shooter
74,Guild Wars 2,7.240950246852853,84.97986319003624,162,2012-Aug-18,Role-playing (RPG)
75,DUSK,2.337358616274289,84.8167506718567,24,2018-Dec-10,Shooter
76,ArcheAge,3.451801882692192,84.7382788487678,22,2014-Sep-16,Role-playing (RPG)
77,The Curse of Monkey Island,5.68075515696001,84.6636481318042,181,1997-Oct-31,Point-and-click
78,Tribes: Ascend,1.0,84.6100837166416,18,2012-Apr-12,Shooter
79,Gothic II,8.132579286796204,84.5515126764063,272,2002-Nov-29,Role-playing (RPG)
80,Emperor: Rise of the Middle Kingdom,1.44578216048949,84.4942814307685,12,2002-Sep-09,Real Time Strategy (RTS)
81,Commandos: Behind Enemy Lines,4.120475123426427,84.3356691998801,121,1998-Jul-31,Strategy
82,Caesar III,1.891564320978979,84.1049474768527,51,1998-Oct,Simulator
83,Icewind Dale II,2.114455401223724,84.07717031255595,45,2002-Aug-27,Role-playing (RPG)
84,Star Wars: Jedi Knight - Dark Forces II,1.891572410849526,83.634598463954,47,1997-Sep-30,Shooter
85,AM2R - Return of Samus,2.337358616274289,83.61562066572111,14,2016-Aug-06,Platform
86,The Lord of the Rings: The Battle for Middle-earth,3.006037924411433,83.55315135407335,135,2004-Dec-06,Real Time Strategy (RTS)
87,Counter-Strike 1.6,8.132579286796204,83.3252942702714,229,2000-Nov-01,Shooter
88,The Settlers III,15.48792021590841,83.09288935840881,31,1998-Nov-30,Real Time Strategy (RTS)
89,Hidden & Dangerous 2,2.560237561713214,82.97735561822006,18,2003-Oct-21,Shooter
90,Quake II,4.12050343797334,82.93148972127311,152,1997-Dec-09,Shooter
91,Far Cry,6.795220670521917,82.86162373001135,255,2004-Mar-23,Shooter
92,Sexy Beach 3,400.2015469578751,82.8492466474926,17,2006-Sep-29,Simulator
93,ISLANDERS,5.234968951535246,82.8246397846332,12,2019-Apr-04,Strategy
94,Total War: Three Kingdoms,15.26515857359241,82.8106030539997,19,2019-May-23,Real Time Strategy (RTS)
95,Gothic,7.463899978659061,82.7089082948179,248,2001-Mar-15,Role-playing (RPG)
96,Stronghold Crusader,6.349385925873874,82.55574489622255,76,2002-Jul-31,Real Time Strategy (RTS)
97,Audiosurf,5.234968951535246,82.45798373601136,70,2008-Feb-15,Music
98,Battle Realms,4.12050343797334,82.35811623825731,21,2001-Nov-07,Real Time Strategy (RTS)
99,Worms 2,1.0,82.28309876283029,46,1997-Dec-31,Strategy
100,Rise of Nations: Rise of Legends,1.44578216048949,82.08636495226679,22,2006-May-09,Real Time Strategy (RTS)
101,Age of Empires: Definitive Edition,13.25912064918098,82.04913305032045,23,2018-Feb-20,Real Time Strategy (RTS)
102,Bejeweled,6.572277006118619,81.9835403330355,13,2001-May-30,Puzzle
103,TrackMania,4.566257283915917,81.97051882588636,25,2003-Nov-28,Racing
104,Command & Conquer: Tiberian Sun,4.566257283915917,81.7989704002095,80,1999-Aug-27,Real Time Strategy (RTS)
105,Planet Zoo,48.03001793164115,81.78501426129655,17,2019-Nov-05,Simulator
106,MORDHAU,5.903603765384385,81.6083245785453,25,2019-Apr-29,Fighting
107,Natural Selection 2,1.891572410849526,81.55284165672904,22,2012-Oct-30,Shooter
108,The Devil on G-String,3.451801882692192,81.47003373309589,14,2015-Nov-05,Simulator
109,Medal of Honor: Pacific Assault,2.114465513561907,81.46123125661885,88,2004-Nov-02,Shooter
110,Knights of Honor,36.21679067866967,81.38458422947335,14,2005-Oct,Real Time Strategy (RTS)
111,Dude Simulator,235.0116808686735,81.3745019920319,25,2017-Jul,Simulator
112,Sudden Strike,2.114455401223724,81.1610756226095,10,2001-Jan-24,Tactical
113,The Black Mirror,1.668673240734234,81.08994580031464,40,2003-Oct-17,Point-and-click
114,S.T.A.L.K.E.R.: Shadow of Chernobyl,4.789148364160662,80.9718546025491,178,2007-Mar-20,Shooter
115,The Settlers II: 10th Anniversary,1.0,80.9550662319895,17,2006-Sep-01,Real Time Strategy (RTS)
116,Freespace 2,1.44578216048949,80.85675733181775,20,1999-Sep-30,Simulator
117,Drakensang: The River of Time,1.0,80.73958040104881,11,2011-Jan-11,Role-playing (RPG)
118,Super House of Dead Ninjas,2.114455401223724,80.58205156589315,10,2013-Feb-18,Platform
119,Spellforce 2: Shadow Wars,1.891572410849526,80.5688088443102,18,2006-Apr-05,Real Time Strategy (RTS)
120,MechWarrior Online,1.445775230718781,80.56603572151005,13,2013-Sep-17,Simulator
121,Catherine Classic,3.228931027123814,80.51619104775445,14,2019-Jan-10,Platform
122,Supraland,3.451801882692192,80.44575400745791,12,2019-Apr-05,Platform
123,Touhou Youyoumu ~ Perfect Cherry Blossom,1.0,80.2923155515885,13,2003-Aug-17,Shooter
124,Kenshi,4.789148364160662,80.2907130249047,12,2018-Dec-06,Role-playing (RPG)
125,Ratty Catty,83.6933411062935,80.2816901408451,16,2017-Jul-21,Simulator
126,Galactic Civilizations II: Dread Lords,2.114455401223724,80.22823794658845,14,2006-Feb-21,Turn-based strategy (TBS)
127,Divine Divinity,6.349434465097154,80.19006665592491,30,2002-Sep-22,Role-playing (RPG)
128,3D Pinball for Windows – Space Cadet,1.44578216048949,80.179456852662,28,1995,Pinball
129,Dungeon Siege II,2.783144821699051,80.11944890969325,48,2005-Aug-16,Role-playing (RPG)
130,BeamNG.drive,7.018113773234298,80.0551083797815,11,2015-Apr-05,Racing
131,Soldiers: Heroes of World War II,37.99991932062763,80.02579116912494,11,2004-Jun-30,Real Time Strategy (RTS)
132,Battle Brothers,138.078014350518,80.0203350282192,24,2017-Mar-24,Role-playing (RPG)
133,When the Darkness comes,1.891572410849526,80.00050787030935,10,2019-Jan-12,Adventure
134,TrackMania United Forever,1.0,79.99927009894586,16,2008-Apr-15,Platform
135,Silent Storm,1.668679308137144,79.99513320015505,12,2003-Nov-07,Role-playing (RPG)
136,Carmageddon TDR 2000,1.0,79.9791164272156,26,2000-Sep-01,Racing
137,Delta Force 2,3.228910802447448,79.95792737235169,28,1999-Oct-31,Shooter
138,Touhou Koumakyou ~ The Embodiment of Scarlet Devil,1.668679308137144,79.9518985083216,18,2002-Aug-11,Shooter
139,Men of War,1.891572410849526,79.9369313400712,10,2009-Mar-10,Real Time Strategy (RTS)
140,MapleStory 2,2.337358616274289,79.9,10,2017-Sep-21,Role-playing (RPG)
141,Devil Daggers,1.445786205424763,79.86813127077255,24,2016-Feb-18,Shooter
142,Heat Signature,1.0,79.78711457604895,12,2017-Sep-21,Simulator
143,Oxygen Not Included,28.86163783904768,79.7346081165108,33,2019-Jul-30,Simulator
144,Mount & Blade II: Bannerlord,14.59647926545527,79.73373328278049,14,2020-Mar-30,Role-playing (RPG)
145,Star Wars: The Old Republic,5.457821604894895,79.70315969198634,121,2011-Dec-20,Role-playing (RPG)
146,Spellforce: The Order of Dawn,105.3139720693945,79.7024602368738,24,2003-Nov-28,Real Time Strategy (RTS)
147,Quake Live,1.668667173299743,79.6819360381161,36,2010-Aug-06,Shooter
148,100% Orange Juice,2.337358616274289,79.4878388581654,10,2013-Sep-10,Strategy
149,Domina,1.445786205424763,79.45777385623549,10,2017-Apr-03,Simulator
150,Vampire: The Masquerade - Bloodlines,7.463899978659061,79.41267452090315,370,2004-Nov-16,Role-playing (RPG)
151,Zeus: Master of Olympus,1.0,79.41016248812281,30,2000-Oct-22,Strategy
152,Yu-Gi-Oh! Power of Chaos: Joey the Passion,4.566289643398102,79.33065216163621,14,2004-Jul-02,Puzzle
153,Tibia,3.006037924411433,79.32954432548941,34,1997-Jan,Role-playing (RPG)
154,Ring Of Elysium,4.12050343797334,79.2231936927128,14,2018-Sep-19,Shooter
155,TrackMania United,1.0,79.2210048703928,13,2006-Nov-17,Racing
156,Touhou Kaeizuka ~ Phantasmagoria of Flower View,1.0,79.09379921465,10,2005-Aug-14,Shooter
157,Cossacks: European Wars,4.120475123426427,79.0786206494783,36,2001-Apr-24,Real Time Strategy (RTS)
158,Satisfactory,13.70479157395045,78.82656535789809,22,2019-Mar-19,Simulator
159,Devotion,4.12050343797334,78.8042234238484,14,2019-Feb-19,Puzzle
160,Shardlight,3.897565292073861,78.78281799024315,19,2016-Mar-08,Point-and-click
161,Empire Earth,2.114465513561907,78.7505348870002,85,2001-Nov-12,Real Time Strategy (RTS)
162,VRChat,3.897610335260958,78.733726539424,10,2017-Feb-01,Simulator
163,Runaway: A Road Adventure,1.44578216048949,78.7222971849133,37,2001-Jul-06,Point-and-click
164,Thief: The Dark Project,2.560237561713214,78.66419996192931,104,1998-Nov-30,Shooter
165,Gunman Chronicles,2.114438076796952,78.64307071709351,12,2000-Nov-20,Shooter
166,Crimson Skies,1.0,78.63644295093205,13,2000-Sep-17,Shooter
167,World of Warships,2.337358616274289,78.4837144958793,26,2015-Sep-17,Shooter
168,Enslaved: Odyssey to the West Premium Edition,2.114455401223724,78.4311609199982,16,2013-Oct-24,Hack and slash/Beat 'em up
169,TrackMania Nations,1.0,78.4131977395143,30,2006-Jan-27,Racing
170,Stories Untold,1.668679308137144,78.39639293664496,45,2017-Feb-27,Adventure
171,Microsoft Flight Simulator X,2.114445288832905,78.34917843442449,19,2006-Oct-10,Simulator
172,Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,19.27723442241528,78.30338578702731,14,2003-Nov-18,Puzzle
173,SWAT 3: Close Quarters Battle,1.668673240734234,78.2624757551493,19,1999-Nov-23,Shooter
174,Sunless Sea,3.674717232548577,78.2052946384952,43,2015-Feb-15,Real Time Strategy (RTS)
175,Evil Genius,2.114455401223724,78.15964710732925,23,2004-Sep-28,Puzzle
176,Blackwell Unbound,1.668679308137144,78.1177497742378,28,2007-Sep-04,Point-and-click
177,Star Wars Galaxies: An Empire Divided,1.0,78.09180898971874,12,2003-Jun-26,Role-playing (RPG)
