rank,title,score,user_score,release_date
226,Star Trek: Elite Force II,7.5,7.5,2003-06-25
227,DOOM 3: Resurrection of Evil,6.9,6.9,2005-04-04
228,Left 4 Dead: Crash Course,6.8,6.8,2009-09-29
229,DeadCore,6.6,6.6,2013-08-13
230,Call of Duty: Advanced Warfare,4.6,4.6,2014-11-03
231,Project Warlock,8.7,8.7,2018-10-18
232,Observer,7.8,7.8,2017-08-15
233,Tom Clancy's Rainbow Six: Vegas 2,7.4,7.4,2008-04-15
234,The Room VR: A Dark Matter,7.6,7.6,2020-03-26
235,Transference,5.9,5.9,2018-09-18
236,Sniper Elite 4,7.0,7.0,2017-02-14
237,Call of Duty: Modern Warfare 3,2.8,2.8,2011-11-08
238,Star Wars: Republic Commando,8.6,8.6,2005-03-01
239,Vader Immortal: Episode I,tbd,tbd,2019-05-21
240,Call of Juarez: Bound in Blood,7.9,7.9,2009-06-30
241,Joint Operations: Escalation,7.5,7.5,2004-11-19
242,Myst Online: Uru Live,7.4,7.4,2007-01-15
243,Medal of Honor: Airborne,7.3,7.3,2007-09-04
244,Red Faction,8.1,8.1,2001-09-17
245,The Sojourn,6.4,6.4,2019-09-20
246,Nancy Drew: The Ransom of the Seven Ships,7.4,7.4,2009-07-14
247,Fallout 3: The Pitt,6.9,6.9,2009-03-24
248,Far Cry 5,6.1,6.1,2018-03-27
249,Lovely Planet Arcade,tbd,tbd,2016-07-22
250,Eastshade,8.0,8.0,2019-02-13
251,Destiny 2: Shadowkeep,5.5,5.5,2019-10-01
252,Battlefield 3: End Game,7.4,7.4,2013-03-26
253,Nancy Drew: Last Train to Blue Moon Canyon,7.4,7.4,2005-09-16
254,Arx Fatalis,8.3,8.3,2002-11-11
255,Delta Force: Black Hawk Down,7.7,7.7,2003-03-23
256,ArmA II,7.5,7.5,2009-06-29
257,Operation Flashpoint: Resistance,8.7,8.7,2002-07-10
258,Zeno Clash,7.8,7.8,2009-04-21
259,I Expect You To Die,8.2,8.2,2016-11-30
260,Green Hell,7.7,7.7,2019-09-05
261,Herald: An Interactive Period Drama,tbd,tbd,2017-02-22
262,Blood: Fresh Supply,8.4,8.4,2019-05-09
263,Sanctum 2,7.6,7.6,2013-05-15
264,Section 8: Prejudice,7.6,7.6,2011-05-04
265,Evolve,4.3,4.3,2015-02-09
266,Day of Infamy,8.3,8.3,2016-07-28
267,The Darkness II,7.6,7.6,2012-02-06
268,Battlefield 4: Second Assault,6.3,6.3,2013-12-03
269,Law & Order: Justice Is Served,6.0,6.0,2004-10-05
270,Vietcong: Purple Haze,7.6,7.6,2004-01-28
271,Battlefield 2: Special Forces,7.7,7.7,2005-11-21
272,Battlefield 2142: Northern Strike,8.4,8.4,2007-03-08
273,Q.U.B.E. 2,7.5,7.5,2018-03-13
274,LawBreakers,6.4,6.4,2017-08-04
275,Singularity,7.8,7.8,2010-06-29
276,Tom Clancy's Ghost Recon Advanced Warfighter 2,7.0,7.0,2007-07-17
277,Star Wars: Battlefront (2004),8.4,8.4,2004-09-20
278,Crysis 3,6.7,6.7,2013-02-19
279,Wolfenstein: The Old Blood,7.7,7.7,2015-05-05
280,Obduction,7.6,7.6,2016-08-24
281,Operation Flashpoint: Dragon Rising,4.9,4.9,2009-10-06
282,Miasmata,7.6,7.6,2012-11-28
283,Battlefield 1: They Shall Not Pass,4.9,4.9,2017-03-14
284,House of the Dying Sun,7.6,7.6,2016-11-01
285,Project: Snowblind,6.5,6.5,2005-03-15
286,The Ship,7.1,7.1,2006-07-11
287,Budget Cuts,7.7,7.7,2018-06-14
288,Pathologic Classic HD,8.5,8.5,2015-10-29
289,Serious Sam HD: The Second Encounter,8.1,8.1,2010-04-28
290,Tower of Guns,7.2,7.2,2014-03-04
291,Metro: Last Light Redux,7.6,7.6,2014-08-25
292,Bulletstorm: Full Clip Edition,7.2,7.2,2017-04-07
293,Red Orchestra 2: Heroes of Stalingrad,7.3,7.3,2011-09-13
294,Nancy Drew: Warnings at Waverly Academy,6.5,6.5,2009-10-13
295,ShootMania Storm,7.3,7.3,2013-04-10
296,Payday: The Heist,7.7,7.7,2011-10-20
297,Everybody's Gone to the Rapture,5.3,5.3,2016-04-14
298,Dear Esther,6.5,6.5,2012-02-14
299,Borderlands 2: Sir Hammerlock's Big Game Hunt,5.9,5.9,2013-01-15
300,Borderlands: The Pre-Sequel,6.2,6.2,2014-10-13
301,Prey: Mooncrash,6.4,6.4,2018-06-10
302,Command & Conquer: Renegade,7.7,7.7,2002-02-27
303,Killing Floor 2,7.7,7.7,2016-11-18
304,S.T.A.L.K.E.R.: Clear Sky,7.7,7.7,2008-09-15
305,Ziggurat,7.8,7.8,2014-08-14
306,Blacklight: Retribution,7.5,7.5,2012-04-03
307,F.E.A.R. Extraction Point,7.5,7.5,2006-10-24
308,Jazzpunk,7.7,7.7,2014-02-07
309,MIND: Path to Thalamus,6.8,6.8,2014-08-05
310,Left 4 Dead 2: The Passing,7.5,7.5,2010-04-22
311,Unreal II: The Awakening,6.5,6.5,2003-02-03
312,Savage: The Battle for Newerth,7.6,7.6,2003-09-09
313,Anna: Extended Edition,5.9,5.9,2013-02-07
314,Painkiller: Battle out of Hell,7.7,7.7,2004-12-01
315,Savage 2: A Tortured Soul,8.8,8.8,2008-01-16
316,SiN Episodes: Emergence,8.1,8.1,2006-05-09
317,Bokida: Heartfelt Reunion,tbd,tbd,2017-05-17
318,Get Even,7.6,7.6,2017-06-20
319,Dark Fall 3: Lost Souls,7.0,7.0,2010-04-21
320,Rhem 2,5.7,5.7,2005-11-02
321,Hidden & Dangerous 2,8.7,8.7,2003-10-21
322,Omensight,6.8,6.8,2018-05-15
323,Borderlands 3: Moxxi's Heist of the Handsome Jackpot,5.3,5.3,2019-12-19
324,Event[0],6.8,6.8,2016-09-14
325,Serious Sam II,7.1,7.1,2005-10-19
326,Leaving Lyndow,5.3,5.3,2017-02-08
327,Overload,7.5,7.5,2018-05-31
328,Vietcong (2003),8.5,8.5,2003-03-26
329,Insurgency,8.5,8.5,2013-03-01
330,Far Cry Primal,5.5,5.5,2016-02-29
331,The Turing Test,6.8,6.8,2016-08-30
332,Hidden & Dangerous,7.7,7.7,1999-07-29
333,Lifestream,5.8,5.8,2004-09-27
334,Torn,tbd,tbd,2018-08-28
