rank,title,score,user_score,release_date
118,RACE On,7.5,7.5,2009-10-05
119,Need for Speed: Hot Pursuit 2,7.8,7.8,2002-10-21
120,4x4 Evolution,6.4,6.4,2000-10-29
121,Cars,7.8,7.8,2006-06-06
122,Motocross Mania,6.8,6.8,2000-11-14
123,SkyDrift,7.7,7.7,2011-11-21
124,Ridge Racer Unbounded,6.1,6.1,2012-03-29
125,FlatOut,7.7,7.7,2005-07-12
126,DiRT Showdown,5.6,5.6,2012-05-23
127,Valentino Rossi The Game,5.8,5.8,2016-06-16
128,MXGP 2019,tbd,tbd,2019-08-27
129,Test Drive Unlimited 2,5.8,5.8,2011-02-08
130,Monster Energy Supercross - The Official Videogame 3,7.3,7.3,2020-02-04
131,IndyCar Series,7.7,7.7,2003-09-23
132,Need for Speed Heat,5.5,5.5,2019-11-08
133,Race Injection,8.4,8.4,2011-11-18
134,The Crew,6.3,6.3,2014-12-01
135,MX vs. ATV Unleashed,7.3,7.3,2006-01-16
136,F1 World Grand Prix,6.9,6.9,2000-07-01
137,Ballistics,7.4,7.4,2001-10-22
138,Mantis Burn Racing,7.0,7.0,2016-07-05
139,Master Rallye,5.6,5.6,2002-04-17
140,Crime Cities,8.0,8.0,2000-01-31
141,Need for Speed: ProStreet,6.2,6.2,2007-11-13
142,Dangerous Driving,4.0,4.0,2019-04-09
143,TT Isle of Man: Ride On The Edge 2,7.2,7.2,2020-03-19
144,WRC 7,7.0,7.0,2017-09-15
145,F1 Championship Season 2000,7.8,7.8,2000-12-06
146,RIDE 3,6.4,6.4,2018-11-30
147,4x4 EVO 2,7.3,7.3,2001-10-30
148,Need for Speed: The Run,6.1,6.1,2011-11-15
149,Leadfoot,7.6,7.6,2001-06-01
150,nail'd,7.6,7.6,2010-11-30
151,Toybox Turbos,6.2,6.2,2014-11-11
152,1nsane,7.8,7.8,2001-02-05
153,Trailblazers,tbd,tbd,2018-05-08
154,NASCAR Thunder 2003,5.2,5.2,2002-10-16
155,World Racing 2,7.4,7.4,2006-08-14
156,FIA European Truck Racing Championship,tbd,tbd,2019-07-18
157,Need for Speed,5.3,5.3,2016-03-15
158,TT Isle of Man,5.5,5.5,2018-03-27
159,FIM Speedway Grand Prix 15,8.4,8.4,2015-11-30
160,LEGO Racers 2,8.3,8.3,2001-10-04
161,RIDE,5.1,5.1,2015-03-27
162,SpinTires,7.8,7.8,2014-06-12
163,Crashday: Redline Edition,8.1,8.1,2017-08-10
164,Fuel,6.8,6.8,2009-06-23
165,Ride 2,7.4,7.4,2016-10-07
166,Sebastien Loeb Rally Evo,7.1,7.1,2016-01-29
167,BlazeRush,8.3,8.3,2014-10-28
168,Moto Racer 3,7.5,7.5,2002-01-31
169,WRC 6: World Rally Championship,5.4,5.4,2016-10-07
170,The Crew 2,4.4,4.4,2018-06-28
171,Absolute Drift,6.3,6.3,2015-07-29
172,Total Immersion Racing,7.9,7.9,2002-11-09
173,Need for Speed: Undercover,5.1,5.1,2008-11-17
174,MotoGP 08,5.6,5.6,2008-10-28
175,RC Cars,6.3,6.3,2003-12-11
176,Sonic & Sega All-Stars Racing,8.4,8.4,2010-03-03
177,WRC 5,6.0,6.0,2015-10-08
178,Antigraviator,4.9,4.9,2018-06-06
179,Off-Road Redneck Racing,tbd,tbd,2001-05-02
180,Drome Racers,6.3,6.3,2002-12-06
181,Cars 2: The Video Game,5.0,5.0,2011-06-21
182,Danger Zone,tbd,tbd,2017-05-29
183,Xenon Racer,5.6,5.6,2019-03-26
184,WRC 4: FIA World Rally Championship,6.5,6.5,2013-10-25
185,Pressure,6.9,6.9,2013-03-26
186,NASCAR: The Game 2013,4.8,4.8,2013-07-24
187,Juiced,7.3,7.3,2005-06-13
188,Crashday,7.6,7.6,2006-12-20
189,Wheels of Aurelia,4.6,4.6,2016-09-20
190,OVERPASS,5.4,5.4,2020-02-27
191,Need for Speed Payback,3.5,3.5,2017-11-10
192,Need for Speed World,5.7,5.7,2010-07-27
193,Gravel,6.9,6.9,2018-02-27
194,Little Racers STREET,6.5,6.5,2012-10-02
195,Death Rally (2012),5.6,5.6,2012-08-03
196,F1 Race Stars,5.6,5.6,2012-11-13
197,Juiced 2: Hot Import Nights,4.9,4.9,2007-11-16
198,Rig'n'Roll,5.5,5.5,2010-04-16
199,WRC 3: FIA World Rally Championship,7.6,7.6,2013-04-23
200,Beam Breakers,7.0,7.0,2002-10-21
201,F1 2015,3.9,3.9,2015-07-09
202,Test Drive,8.5,8.5,2002-12-10
203,Big Mutha Truckers,3.8,3.8,2003-06-27
204,F1 2014,4.8,4.8,2014-10-16
205,Driver: Parallel Lines,6.5,6.5,2007-06-26
206,Michael Schumacher Racing World Kart 2002,tbd,tbd,2002-09-18
207,Le Mans 24 Hours,tbd,tbd,2002-06-01
208,Spectra (2015),tbd,tbd,2015-07-10
209,Desert Child,5.9,5.9,2018-12-11
210,Off-Road Drive,6.1,6.1,2011-09-29
211,Big Scale Racing,7.7,7.7,2002-08-19
212,Zombie Driver,6.4,6.4,2009-12-04
213,The Italian Job,5.6,5.6,2002-08-19
214,Ignite,6.1,6.1,2011-10-28
215,Dakar 18,5.8,5.8,2018-09-25
216,Fireburst,4.4,4.4,2012-04-25
217,Gas Guzzlers: Combat Carnage,7.6,7.6,2012-05-18
218,Wheelman,6.8,6.8,2009-03-24
219,Micro Machines World Series,3.4,3.4,2017-06-29
220,Urban Trial Freestyle,6.8,6.8,2013-09-18
221,Formula Fusion,7.5,7.5,2017-06-01
222,Micro Machines V4,7.5,7.5,2006-06-27
223,Ducati World Racing Challenge,tbd,tbd,2001-02-09
224,Open Kart,tbd,tbd,2001-09-24
225,Jet Car Stunts,7.4,7.4,2014-05-01
226,Starsky & Hutch,7.4,7.4,2003-09-09
227,Spy Hunter,7.9,7.9,2003-05-30
228,Suzuki Alstare Extreme Racing,tbd,tbd,2000-12-14
229,Michael Schumacher's Kart Challenge 2005,tbd,tbd,2004-11-09
230,Knight Rider: The Game,7.3,7.3,2003-02-12
231,Death Track: Resurrection,3.4,3.4,2009-03-31
232,FlatOut 4: Total Insanity,6.2,6.2,2017-04-04
233,Clutch,5.6,5.6,2009-06-02
234,Larry Ragland 4x4 Challenge,tbd,tbd,2001-11-30
235,Ford Racing,4.2,4.2,2000-09-07
236,Snow Moto Racing Freedom,8.7,8.7,2017-04-11
237,Ford Bold Moves Street Racing,4.4,4.4,2006-09-25
238,Moto Racer 4,5.3,5.3,2016-11-02
239,Rayman Arena,7.3,7.3,2002-09-24
240,Woody Woodpecker Racing,tbd,tbd,2001-01-31
241,Supercar Street Challenge,4.4,4.4,2001-10-30
242,Big Mutha Truckers 2,2.8,2.8,2005-08-23
243,DRIV3R,3.3,3.3,2005-03-15
244,Ford Racing: Off Road,4.0,4.0,2008-09-23
245,Ducati World Championship,3.5,3.5,2007-09-18
246,FlatOut 3: Chaos & Destruction,3.1,3.1,2011-12-13
247,Hooters Road Trip,2.7,2.7,2002-03-25
248,Ride to Hell: Retribution,1.3,1.3,2013-06-24
249,Big Rigs: Over the Road Racing,3.9,3.9,2003-11-20
