rank,title,score,user_score,release_date
107,Company of Heroes 2: Ardennes Assault,6.2,6.2,2014-11-17
108,DG2: Defense Grid 2,6.8,6.8,2014-09-23
109,Napoleon: Total War,7.9,7.9,2010-02-23
110,Stronghold,8.9,8.9,2001-10-21
111,Victoria II: Heart of Darkness,8.8,8.8,2013-04-16
112,Vietnam '65,6.8,6.8,2015-03-05
113,Rails Across America,7.0,7.0,2001-09-18
114,Combat Mission 3: Afrika Korps,7.6,7.6,2003-12-03
115,Kohan II: Kings of War,7.9,7.9,2004-09-22
116,Darkest Hour: A Hearts of Iron Game,8.0,8.0,2011-04-05
117,Empire Earth,8.3,8.3,2001-11-12
118,Wargame: European Escalation,8.1,8.1,2012-02-22
119,Total War: Three Kingdoms - A World Betrayed,7.0,7.0,2020-03-19
120,Age of Empires III: The Asian Dynasties,8.5,8.5,2007-10-23
121,Defense Grid: The Awakening,8.7,8.7,2008-12-08
122,Codename: Panzers Phase One,8.8,8.8,2004-09-30
123,Ghost Master,7.8,7.8,2003-08-26
124,Europa Universalis IV: Conquest of Paradise,7.7,7.7,2014-01-14
125,Company of Heroes 2: The Western Front Armies,6.9,6.9,2014-06-23
126,Age of Empires III: The WarChiefs,7.8,7.8,2006-10-17
127,Crusader Kings II: Charlemagne,6.8,6.8,2014-10-14
128,Anomaly: Warzone Earth,7.3,7.3,2011-04-08
129,SpellForce 3: Soul Harvest,8.5,8.5,2019-05-28
130,Hearts of Iron II: Doomsday,8.8,8.8,2006-04-07
131,Codename: Panzers Phase Two,7.9,7.9,2005-07-25
132,Full Spectrum Warrior,7.1,7.1,2004-09-21
133,AI War: Fleet Command,7.9,7.9,2009-05-14
134,Company of Heroes 2: The British Forces,6.3,6.3,2015-09-02
135,Ground Control II: Operation Exodus,7.8,7.8,2004-06-23
136,Company of Heroes 2,2.1,2.1,2013-06-25
137,Crusader Kings II: Rajas of India,7.2,7.2,2014-03-25
138,Dragonshard,7.4,7.4,2005-10-02
139,Warhammer 40000: Dawn of War II - Retribution,7.7,7.7,2011-02-28
140,Panzer Corps,7.5,7.5,2011-07-11
141,Tooth and Tail,7.2,7.2,2017-09-12
142,Men of War,8.0,8.0,2009-03-16
143,Sins of a Solar Empire: Entrenchment,7.3,7.3,2009-02-25
144,Robin Hood: The Legend of Sherwood,8.4,8.4,2002-11-14
