rank,title,score,user_score,release_date
112,Elite: Dangerous,6.7,6.7,2014-12-16
113,The Sims 3: Into the Future,5.6,5.6,2013-10-22
114,American Truck Simulator: New Mexico,8.9,8.9,2017-11-09
115,World of Tanks,3.5,3.5,2011-04-12
116,Interstate '76,8.6,8.6,1997-02-28
117,The Sims 4: Cats & Dogs,4.8,4.8,2017-11-10
118,F1 2012,7.1,7.1,2012-09-17
119,Microsoft Flight Simulator X,7.5,7.5,2006-10-17
120,Test Drive Unlimited,8.1,8.1,2007-03-20
121,F1 2001,7.1,7.1,2001-10-14
122,Silent Hunter: Wolves of the Pacific,7.1,7.1,2007-03-20
123,Euro Truck Simulator 2,8.7,8.7,2013-01-16
124,Rowan's Battle of Britain,tbd,tbd,2001-01-31
125,Cart Life,5.8,5.8,2010-07-29
126,The Sims: Superstar,7.6,7.6,2003-05-12
127,Archangel: Hellfire,8.4,8.4,2018-07-17
128,Jumpgate: The Reconstruction Initiative,tbd,tbd,2001-09-23
129,The Sims: Unleashed,7.6,7.6,2002-09-23
130,The Sims 3: Pets,6.0,6.0,2011-10-18
131,Untitled Goose Game,6.1,6.1,2019-09-20
132,EVERSPACE,7.3,7.3,2017-05-26
133,iRacing,6.9,6.9,2008-08-26
134,Need for Speed: Most Wanted - A Criterion Game,4.4,4.4,2012-10-30
135,WarBirds III Fighter Pilot Academy,6.3,6.3,2002-03-19
136,NASCAR Thunder 2004,7.5,7.5,2003-09-16
137,The Sims 4: City Living,5.7,5.7,2016-11-01
138,EVERSPACE: Encounters,tbd,tbd,2017-10-24
139,MechWarrior 4: Black Knight Expansion,7.3,7.3,2001-10-31
140,Ace Combat 7: Skies Unknown,7.1,7.1,2019-01-31
141,Star Trek: Starfleet Command III,7.5,7.5,2002-11-06
142,DiRT 4,5.9,5.9,2017-06-08
143,Wings of Prey,7.6,7.6,2009-12-25
144,The Sims 2: Open for Business,8.7,8.7,2006-02-28
145,StarLancer,7.5,7.5,2000-03-31
146,GRID Autosport,6.3,6.3,2014-06-26
147,The Sims 2 Seasons,7.5,7.5,2007-02-27
148,Viva Pinata,8.0,8.0,2007-11-06
149,Need for Speed: Carbon,7.4,7.4,2006-10-31
150,Dirt Track Racing: Sprint Cars,8.3,8.3,2000-10-19
151,Dawn of Discovery: Venice,7.7,7.7,2010-02-26
152,Dark Future: Blood Red States,6.0,6.0,2019-05-16
153,Vacation Simulator,5.3,5.3,2019-04-09
154,Reigns,7.4,7.4,2016-08-11
155,Geoff Crammond's Grand Prix 4,8.7,8.7,2002-09-10
156,Bridge Constructor Portal,6.4,6.4,2017-12-20
157,F1 2013,6.4,6.4,2013-10-03
158,VA-11 Hall-A: Cyberpunk Bartender Action,8.3,8.3,2016-06-21
159,MotoGP 3: Ultimate Racing Technology,7.3,7.3,2005-08-30
160,Rise of Flight: The First Great Air War,7.6,7.6,2009-06-29
161,Assetto Corsa Competizione,6.8,6.8,2019-05-29
162,Ace Combat Assault Horizon: Enhanced Edition,5.9,5.9,2013-01-24
163,The Sims 4: Get Famous,5.5,5.5,2018-11-16
164,Enigma: Rising Tide,5.7,5.7,2003-08-26
165,Cross Racing Championship 2005,6.8,6.8,2005-10-04
166,RalliSport Challenge,7.0,7.0,2002-11-06
167,The Long Dark,6.4,6.4,2017-08-01
168,The Sims Medieval,6.0,6.0,2011-03-22
169,Spintires: MudRunner,7.8,7.8,2017-10-30
170,Screamer 4x4,7.6,7.6,2001-12-03
171,Trainz Railroad Simulator 2004,7.3,7.3,2003-11-02
172,Kerbal Space Program: Making History,6.5,6.5,2018-03-13
173,The Sims 2: Pets,7.7,7.7,2006-10-17
174,GoD Factory: Wingmen,6.6,6.6,2014-08-29
175,Pacific Fighters,7.5,7.5,2004-10-26
176,Heroes of the Pacific,7.0,7.0,2005-10-25
177,Lock On: Modern Air Combat,7.5,7.5,2005-07-26
178,MotoGP 14,2.5,2.5,2014-06-20
179,Need for Speed: Rivals,3.5,3.5,2013-11-19
180,The Sims 2: Nightlife,6.7,6.7,2005-09-13
181,American Truck Simulator,6.9,6.9,2016-02-02
182,Rick and Morty: Virtual Rick-ality,6.2,6.2,2017-04-15
183,Battle of Britain II: Wings of Victory,4.0,4.0,2005-09-12
184,Battlezone 98 Redux,8.7,8.7,2016-04-18
185,The Sims: Vacation,7.8,7.8,2002-03-25
186,The Sims 2 Apartment Life,7.6,7.6,2008-08-26
187,The Sims 2: Celebration Stuff,7.0,7.0,2007-04-03
188,Uplink: Hacker Elite,8.1,8.1,2001-10-09
189,Airfix Dogfighter,7.7,7.7,2000-01-14
190,Bomber Crew,7.3,7.3,2017-10-19
191,The Sims 3: Late Night Expansion Pack,5.5,5.5,2010-10-26
